Algorithm,Seed,Population,Generation,Solutions,GD,IGD,HV,S,STE
Hybrids,1,232,250,232,0.013686613839645029,0.021947056331164914,0.8350300817393334,0.005084015946667395,4.393511882186196e-05
Hybrids,1,209,255,209,0.013040253567497773,0.021599460831169134,0.8365000107546108,0.004280572699587993,3.096505631785311e-05
Hybrids,1,223,260,223,0.013719622911554707,0.021250923355886825,0.8367380014834422,0.004835841360285866,3.950764546144949e-05
Hybrids,1,232,265,232,0.013947240865574084,0.021165539575759017,0.8374403729946958,0.0043929289652974565,3.255846535995675e-05
Hybrids,1,229,270,229,0.01399619015870308,0.020524165978536343,0.8403191508564376,0.004479800795534777,3.366313856482619e-05
Hybrids,1,225,275,225,0.013710362996005575,0.020054741673702053,0.8425821707060759,0.004365446421765822,3.096039252513167e-05
Hybrids,1,231,280,231,0.013812629467552401,0.01960107851820568,0.8473171465948266,0.004413564974388932,3.1067012760462215e-05
Hybrids,1,234,285,234,0.013628815085465503,0.019512075666505528,0.8482331933969767,0.005019709940262587,3.994873030453886e-05
Hybrids,1,236,290,236,0.01446172556309401,0.019673621989597052,0.8509386212771942,0.004715681856095503,3.5096021138789054e-05
Hybrids,1,231,295,231,0.014277182247188516,0.020245073456942445,0.8493134170834963,0.004392170202389298,3.181267567435819e-05
Hybrids,1,233,300,233,0.013653274781984881,0.019438325258405404,0.8494951765142902,0.0045368588279930825,3.388223614398999e-05
Hybrids,1,232,305,232,0.013619662298622768,0.018713176758174122,0.8511118055546116,0.004358000388043771,3.1006712658317566e-05
Hybrids,1,244,310,244,0.014166347373631252,0.0187135266674309,0.8536370281794002,0.004390444606998089,3.134790613545583e-05
Hybrids,1,246,315,246,0.014273794955689131,0.01858960991025142,0.8537343624656504,0.004803023601002804,3.6790043228029986e-05
Hybrids,1,237,320,237,0.01412040980209984,0.017885820853612473,0.855369339471054,0.004280643772972829,2.9085417628379067e-05
Hybrids,1,236,325,236,0.01440622965024699,0.017950182018761085,0.8553958379740693,0.004206607880926542,2.8100389609484122e-05
Hybrids,1,239,330,239,0.014091045567185847,0.01752731602892216,0.8565786681280563,0.0043110586672854955,2.8829651549347503e-05
Hybrids,1,237,335,237,0.014283191050914489,0.017819577805378482,0.8566067080182729,0.004670625725959685,3.4574967390181034e-05
Hybrids,1,243,340,243,0.014312752441327199,0.017752045612678607,0.8581292676378928,0.004362735882427992,2.9816572903045236e-05
Hybrids,1,235,345,235,0.014086789707749821,0.017566581262423258,0.8568057970040724,0.004809760477971677,3.6328660577066465e-05
Hybrids,1,244,350,244,0.014399269707413126,0.017517526046963373,0.8614489292462373,0.004462185368224042,3.101587190866713e-05
Hybrids,1,232,355,232,0.014455182231434513,0.017519485158304187,0.8615799906624683,0.005050131709634162,3.9326439536322495e-05
Hybrids,1,229,360,229,0.014313636863700716,0.01763197759648544,0.8617550886438871,0.004505932790216287,3.2365309081295035e-05
Hybrids,1,224,365,224,0.014879430700734735,0.017409268049573257,0.8620783621712291,0.004754312244726072,3.4778426513808305e-05
Hybrids,1,228,370,228,0.014414625446822774,0.016785665153019165,0.8625132489454125,0.005125884830467689,3.933552371597331e-05
Hybrids,1,227,375,227,0.014259346908261116,0.01651156949504673,0.8625917294985292,0.0050155282276941335,3.806136999102806e-05
Hybrids,1,226,380,226,0.01438860923904684,0.017153934126000758,0.8623479020127416,0.0048540404426035315,3.682295254266193e-05
