Algorithm,Seed,Population,Generation,Solutions,TimeDelta,GD,IGD,HV,S,STE
NSGA2,1,400,95,400,4.49205,0.016140788965688845,0.04124795458956165,0.7976281218430964,0.00309849276580056,1.8856174956731083e-05
NSGA2,1,400,100,400,5.208878,0.01600293656718198,0.03902775587174247,0.8027509024046523,0.002991809714241521,1.7712604220310676e-05
NSGA2,1,400,105,400,6.092858,0.01564589772053089,0.03728144453735657,0.803307421244931,0.0032868125623947697,2.1360930522423677e-05
NSGA2,1,400,110,400,5.448549,0.015645833892751877,0.037186080431250726,0.8047608224759883,0.003579976106929663,2.4911994028410744e-05
NSGA2,1,400,115,400,6.702559,0.01584006212502159,0.036796539549351186,0.8048726160319174,0.0035552380084760433,2.4568893364419942e-05
NSGA2,1,400,120,400,5.994393,0.015794083884483272,0.03659429127179651,0.8050427555580538,0.003369055753682816,2.2295737207463948e-05
NSGA2,1,400,125,400,6.349706,0.015856654430406146,0.03657137556492188,0.8074144428307636,0.0033224048082639256,2.1584989324510188e-05
NSGA2,1,400,130,400,6.396084,0.015401123596923328,0.03535208776498983,0.8128950209536873,0.0028426721972538353,1.5578390398029993e-05
NSGA2,1,400,135,400,6.445995,0.01497804854718417,0.033921427019808624,0.8198815001982656,0.002890974823881639,1.5483360756522885e-05
NSGA2,1,400,140,400,6.959665,0.015120746247554152,0.03323886827979162,0.8219591349849549,0.0029665978342090396,1.6007243288206917e-05
NSGA2,1,400,145,400,6.751318,0.015343679567263907,0.03161824793114294,0.8221151107008804,0.0029502910451299135,1.5719054758813342e-05
NSGA2,1,400,150,400,7.084125,0.014941719267452096,0.03138384559006022,0.8256139445152952,0.0029644699633326072,1.572882755457151e-05
NSGA2,1,400,155,400,7.194835,0.015299865126887658,0.030439360891980308,0.8259153967465243,0.003092785816185224,1.7265007693345006e-05
NSGA2,1,400,160,400,7.42606,0.01512573562318365,0.029638245191888263,0.8259773689885531,0.003035424460236382,1.6552905305166827e-05
NSGA2,1,400,165,400,6.983972,0.015074541609653713,0.02904801554383423,0.8261204883980753,0.0032208250077774858,1.8608316273458424e-05
NSGA2,1,400,170,400,7.966536,0.014855436524013759,0.02887058435746753,0.8266420022900952,0.00308956421663025,1.6867501772377784e-05
NSGA2,1,400,175,400,8.223744,0.01455779210379194,0.028357686391100957,0.8267335603075783,0.0030557953191980903,1.672344345574473e-05
NSGA2,1,400,180,400,7.771124,0.014605172194841818,0.028187928296164174,0.8274790282122105,0.0030076931635706415,1.61815186298881e-05
NSGA2,1,400,185,400,8.118478,0.014549145771000865,0.02762264677651909,0.8280990587020334,0.0031861802727831683,1.7965664826122006e-05
NSGA2,1,400,190,400,7.979946,0.014180093284953345,0.027112767801648674,0.8285141504186978,0.0029565346601620464,1.5250205005040694e-05
NSGA2,1,400,195,400,8.376787,0.014065095505623435,0.026353222086459824,0.833378838598969,0.003256889335121462,1.8332248219666602e-05
NSGA2,1,400,200,400,9.104921,0.014257045020181259,0.02627819148682,0.8338433187647081,0.0033290106422896497,1.912954821667688e-05
NSGA2,1,400,205,400,8.312439,0.014784499972248817,0.025629952241918826,0.8340675260405221,0.003201949631841673,1.7274667697227143e-05
