Algorithm,Seed,Population,Generation,Solutions,GD,IGD,HV,S,STE
Hybrids,1,940,170,940,0.004034224904985769,0.026125828225509472,0.8624092888172161,0.002341074537328545,1.0234956210486707e-05
Hybrids,1,913,175,913,0.0036571021367523063,0.02538010108274208,0.8626174135434209,0.0028720355501693543,1.54008208512409e-05
Hybrids,1,927,180,927,0.0036734785338838473,0.024890830820278646,0.8695985644319161,0.002335669621828764,1.030182806495462e-05
Hybrids,1,918,185,918,0.0035710570531486646,0.024769004439570187,0.8698148094867046,0.0020910836471792573,8.243707558846175e-06
Hybrids,1,903,190,903,0.0036194616024318163,0.023771084519465135,0.8761045522803972,0.002184141343725423,9.370171858503912e-06
Hybrids,1,905,195,905,0.003535200896466452,0.0232897012207271,0.8762465855579855,0.002100064735443946,8.662642213122125e-06
Hybrids,1,916,200,916,0.0035245202274401745,0.02090843193002569,0.8814847254982843,0.0021896983230429365,8.806804373003992e-06
Hybrids,1,849,205,849,0.003525165418418881,0.01833846203716391,0.884864472402069,0.0030278929911820374,1.6410769114803794e-05
Hybrids,1,886,210,886,0.0033975506569308435,0.017745434507992354,0.8853014361294698,0.0024365319555233345,1.1160120023409241e-05
Hybrids,1,902,215,902,0.0033984142702839846,0.017773878731373108,0.8863427510313445,0.002485391286944233,1.1293388540236521e-05
Hybrids,1,944,220,944,0.003381169805050154,0.01651149091885895,0.8886113463837267,0.0024390109654804644,1.0679580867804095e-05
Hybrids,1,945,225,945,0.003424766207158323,0.015692072736084167,0.8919511767785555,0.002533561437143345,1.1433547767344403e-05
Hybrids,1,944,230,944,0.0034468271317743934,0.015605701686804585,0.8920290460051207,0.0025622907018395106,1.1585819054721209e-05
Hybrids,1,951,235,951,0.0034703935865230337,0.015443266505731232,0.8945672974164818,0.002254967770386627,9.196456497894276e-06
Hybrids,1,961,240,961,0.003452232508479165,0.015084292140334223,0.8956020997457739,0.00232869048121034,9.57228902912367e-06
Hybrids,1,971,245,971,0.0034070399168484133,0.015389850624789899,0.897438316070571,0.00199703221799408,7.014369331054379e-06
Hybrids,1,967,250,967,0.0034032281071993426,0.014886773629040891,0.8975419491543027,0.0020278158460785693,7.170680494890995e-06
