Metric,Algorithm_1,Algorithm_2,Seed,NSGA2_Value,NSGA3_Value,Winner,Difference,UNSGA3_Value,SMSEMOA_Value,Hybrids_Value
STE,NSGA3,UNSGA3,1,,2.7699212099163093e-05,UNSGA3,1.0995575484098125e-06,2.659965455075328e-05,,
STE,NSGA3,UNSGA3,2,,3.500682201938951e-05,UNSGA3,8.06157965450491e-06,2.69452423648846e-05,,
STE,NSGA3,UNSGA3,3,,2.8355155518304596e-05,UNSGA3,5.6771567188122135e-06,2.2677998799492383e-05,,
STE,NSGA3,SMSEMOA,1,,2.7699212099163093e-05,SMSEMOA,1.2662129399665208e-05,,1.5037082699497885e-05,
STE,NSGA3,SMSEMOA,2,,3.500682201938951e-05,SMSEMOA,1.4116898180099084e-05,,2.0889923839290427e-05,
STE,NSGA3,SMSEMOA,3,,2.8355155518304596e-05,SMSEMOA,8.975212665962112e-06,,1.9379942852342484e-05,
STE,NSGA3,Hybrids,1,,2.7699212099163093e-05,Hybrids,1.605571796046505e-05,,,1.1643494138698042e-05
STE,NSGA3,Hybrids,2,,3.500682201938951e-05,Hybrids,2.1543483935274076e-05,,,1.3463338084115433e-05
STE,NSGA3,Hybrids,3,,2.8355155518304596e-05,Hybrids,1.8468791017131245e-05,,,9.88636450117335e-06
STE,UNSGA3,SMSEMOA,1,,,SMSEMOA,1.1562571851255395e-05,2.659965455075328e-05,1.5037082699497885e-05,
STE,UNSGA3,SMSEMOA,2,,,SMSEMOA,6.055318525594175e-06,2.69452423648846e-05,2.0889923839290427e-05,
STE,UNSGA3,SMSEMOA,3,,,SMSEMOA,3.2980559471498988e-06,2.2677998799492383e-05,1.9379942852342484e-05,
STE,UNSGA3,Hybrids,1,,,Hybrids,1.4956160412055238e-05,2.659965455075328e-05,,1.1643494138698042e-05
STE,UNSGA3,Hybrids,2,,,Hybrids,1.3481904280769168e-05,2.69452423648846e-05,,1.3463338084115433e-05
STE,UNSGA3,Hybrids,3,,,Hybrids,1.2791634298319033e-05,2.2677998799492383e-05,,9.88636450117335e-06
STE,SMSEMOA,Hybrids,1,,,Hybrids,3.393588560799843e-06,,1.5037082699497885e-05,1.1643494138698042e-05
STE,SMSEMOA,Hybrids,2,,,Hybrids,7.426585755174994e-06,,2.0889923839290427e-05,1.3463338084115433e-05
STE,SMSEMOA,Hybrids,3,,,Hybrids,9.493578351169135e-06,,1.9379942852342484e-05,9.88636450117335e-06
